theatre,weekly_gross_overall,show
46th Street Theatre,921796031.0,205
Al Hirschfeld Theatre,17263489588.71,735
Ambassador Theatre,27622335993.520023,1604
American Airlines Theatre,16003592511.490002,766
August Wilson Theatre,17313681854.039997,725
Belasco Theatre,11521538810.449993,592
Bernard B. Jacobs Theatre,14293181222.65,588
Biltmore Theatre,2816065014.0,190
Booth Theatre,18889475349.620018,1301
Broadhurst Theatre,30630533561.150013,1829
Broadway Theatre,20063943118.630024,1216
Brooks Atkinson Theatre,18416604528.290005,1057
Circle in the Square Theatre,17075023546.759996,1052
Comedy Theatre,78163720.0,11
Cort Theatre,12875015908.039993,725
Criterion Center Stage Right,2546530731.0,317
Edison Theatre,1150751064.0,253
Ethel Barrymore Theatre,18664483796.060005,1170
Eugene O'Neill Theatre,23888467532.520023,1479
Ford Center for the Performing Arts,4208076256.0,328
Foxwoods Theatre,3550900752.0,160
Gerald Schoenfeld Theatre,14155509235.17999,574
Gershwin Theatre,24685504688.520023,1526
Helen Hayes Theater,2707282411.6800013,77
Helen Hayes Theatre,18105519161.0,1223
Henry Miller's Theatre,2164619109.0,151
Hilton Theatre,2626702690.0,146
Hudson Theatre,4190632472.8700004,126
Imperial Theatre,23244591776.020023,1673
Jack Lawrence Theatre,57095820.0,13
John Golden Theatre,18815824935.940018,1130
Longacre Theatre,13491379246.279995,650
Lunt-Fontanne Theatre,23737154117.50002,1472
Lyceum Theatre,16024221115.75,841
Lyric Theatre,6582948240.350003,214
Majestic Theatre,26760096317.520023,1677
Mark Hellinger Theatre,228964947.0,54
Marquis Theatre,19037706068.460022,1276
Martin Beck Theatre,5345200206.0,578
Minskoff Theatre,28477990751.520023,1739
Music Box Theatre,19898688738.930016,1139
Nederlander Theatre,18495323834.950012,1055
Neil Simon Theatre,18877722171.20002,1212
New Amsterdam Theatre,16126226268.519999,655
Palace Theatre,16525396198.770004,1019
Plymouth Theatre,5930991455.0,658
Richard Rodgers Theatre,21829066624.52002,1231
Ritz Theatre,274970681.0,65
Royale Theatre,5697930117.0,635
Sam S. Shubert Theatre,21258256709.070026,1314
Samuel J. Friedman Theatre,10190044868.929998,396
St. James Theatre,21288309273.28002,1460
Stephen Sondheim Theatre,11897333081.399994,426
Studio 54,15603372473.900002,787
Virginia Theatre,6290377031.0,661
Vivian Beaumont Theater,20233774931.120003,1276
Walter Kerr Theatre,19047296354.790016,1037
Winter Garden Theatre,13621711914.939995,1055
