,show,gross,performances,avg ticket,total seats sold,pct cap
0,Hamilton,645335116.75,1900,249.31659751037333,2587041,1.0165751037344393
1,Waitress,168426420.26,1544,113.02984848484854,1473758,0.8943646464646468
2,Rent,274248128.0,5123,53.94166924265849,5026616,0.8254459041731069
3,The Book of Mormon,656783848.44,3730,160.3692978723404,4083348,1.0231825531914889
4,SIX: The Musical,2563758.6,0,120.37333333333333,21483,0.9967666666666667
5,Dear Evan Hansen,240102484.94,1352,175.59505813953484,1365633,1.0107901162790698
6,Billy Elliot: The Musical,183514378.0,1312,101.88052631578951,1787108,0.9296824561403515
7,Mamma Mia!,624391693.0,5758,82.233218707015,7566124,0.8972738651994496
8,Les Miserables,548795211.19,8135,53.00858653846154,10590408,0.8848782692307684
9,Newsies,109000717.0,1004,93.72093749999999,1156757,0.9525921874999996
10,Chicago,679882488.85,9674,72.58772577996714,9487120,0.8270306239737271
11,The Phantom of the Opera,1251492673.92,13350,65.38144901610016,19306313,0.8971247465712592
12,Wicked,1364248846.0,6817,111.46691228070166,12169601,0.9715726315789482
13,Legally Blonde,56338126.0,595,67.11604938271608,814072,0.7523185185185183
