theatre,weekly_gross,show
46th Street Theatre,33477452.0,205
Al Hirschfeld Theatre,635689101.66,735
Ambassador Theatre,778261617.8499993,1604
American Airlines Theatre,217719760.6099998,766
August Wilson Theatre,701004095.8100001,725
Belasco Theatre,223214199.70000014,592
Bernard B. Jacobs Theatre,378743724.9500001,588
Biltmore Theatre,35151967.0,190
Booth Theatre,316481555.8300001,1301
Broadhurst Theatre,1166847941.1999998,1829
Broadway Theatre,829801607.47,1216
Brooks Atkinson Theatre,453950835.7599999,1057
Circle in the Square Theatre,263659554.5799999,1052
Comedy Theatre,1487984.0,11
Cort Theatre,233117529.78000003,725
Criterion Center Stage Right,35195423.0,317
Edison Theatre,11638777.0,253
Ethel Barrymore Theatre,452727232.14,1170
Eugene O'Neill Theatre,1019260478.4399998,1479
Ford Center for the Performing Arts,224251106.0,328
Foxwoods Theatre,212406040.0,160
Gerald Schoenfeld Theatre,403466125.03999984,574
Gershwin Theatre,1664402395.0,1526
Helen Hayes Theater,26755484.900000002,77
Helen Hayes Theatre,253265361.0,1223
Henry Miller's Theatre,47655817.0,151
Hilton Theatre,53674574.0,146
Hudson Theatre,74115679.85,126
Imperial Theatre,1080540918.8899992,1673
Jack Lawrence Theatre,252460.0,13
John Golden Theatre,329302555.69000006,1130
Longacre Theatre,244515409.91000006,650
Lunt-Fontanne Theatre,1011884716.1000004,1472
Lyceum Theatre,207031705.78000003,841
Lyric Theatre,257092519.17000002,214
Majestic Theatre,1251492673.92,1677
Mark Hellinger Theatre,14893846.0,54
Marquis Theatre,772564304.5999992,1276
Martin Beck Theatre,256534785.0,578
Minskoff Theatre,1948522052.5,1739
Music Box Theatre,539805942.6899999,1139
Nederlander Theatre,526826627.9200001,1055
Neil Simon Theatre,661815724.0999999,1212
New Amsterdam Theatre,759473911.4599999,655
Palace Theatre,696501723.7499998,1019
Plymouth Theatre,179694616.0,658
Richard Rodgers Theatre,1136474502.75,1231
Ritz Theatre,5418990.0,65
Royale Theatre,142593287.0,635
Sam S. Shubert Theatre,929414016.1000004,1314
Samuel J. Friedman Theatre,106537574.49999991,396
St. James Theatre,918463547.9300003,1460
Stephen Sondheim Theatre,340701746.91999954,426
Studio 54,343873917.2799999,787
Virginia Theatre,239832651.0,661
Vivian Beaumont Theater,565649844.52,1276
Walter Kerr Theatre,505973663.89,1037
Winter Garden Theatre,580805573.5800003,1055
